topic_id	topic_label	tagged_rows	sample_titles
congressional_record_activity	Congressional Record Activity	14	Jeffrey Epstein (Executive Session) | Sex Trafficking (Executive Calendar) | Jeffrey Epstein (Executive Calendar)
court_and_litigation	Court and Litigation	14	Giuffre v. Maxwell | Giuffre v. Maxwell | Giuffre v. Maxwell
unsealing_and_access	Unsealing and Access	10	Attorney General Pamela Bondi releases first phase of declassified Epstein files | Epstein Files Transparency Act (H.R. 4405) - GovTrack.us | Introduced
congressional_oversight	Congressional Oversight	5	Attorney General Pamela Bondi releases first phase of declassified Epstein files | COMMITTEE ON OVERSIGHT AND GOVERNMENT REFORM EPSTEIN INVESTIGATION | Better Meals, Fewer Pills: Making Our Children Healthy Again
doj_release_operations	DOJ Release Operations	5	Attorney General Pamela Bondi releases first phase of declassified Epstein files | SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO... | Department of Justice publishes 3.5 million responsive pages in compliance with Epstein files law
unclassified_epstein_records	Unclassified Epstein Records	4	Text of Senate Amendment 3140 | Text of Senate Amendment 3771 | IRREFUTABLE EVIDENCE
transparency_legislation	Transparency Legislation	3	Epstein Files Transparency Act (H.R. 4405) - GovTrack.us | Introduced | Public Law 119-38
clemency_and_pardon	Clemency and Pardon	2	SENATE RESOLUTION 325--EXPRESSING THE SENSE OF THE SENATE THAT THE DEPARTMENT OF JUSTICE SHOULD RELEASE APPROPRIATE, NON-SENSITIVE MATERIALS RELATED TO THE INVESTIGATION OF JEFFREY EPSTEIN TO... | SENATE RESOLUTION 608--EXPRESSING THE SENSE OF THE SENATE THAT GHISLAINE MAXWELL SHOULD NOT BE GRANTED A PRESIDENTIAL PARDON OR ANY FORM OF CLEMENCY FOR HER CRIMES WITH JEFFREY EPSTEIN RELATING TO...
victim_and_survivor_issues	Victim and Survivor Issues	2	Sex Trafficking (Executive Calendar) | A LETTER FROM SURVIVORS OF JEFFREY EPSTEIN AND GHISLAINE MAXWELL
